,Due Days,Test Code,Work Order,Sample,Client Code,Received,Log Date,Due Date,Priority,Container Type,Cylinder #,Matrix,Test Notes,Work Order Comment,Sample 2,Column 1
,-20,GC-C6GAS,26032281,002A,EOG22,3/19/2026,3/19/2026,3/27/2026,3,Cylinder 300cc,1111-013118,Gas,,Test runs for VRU. No Charge,,FALSE
,-20,GC-C6GAS,26032281,003A,EOG22,3/19/2026,3/19/2026,3/27/2026,3,Cylinder 300cc,1111-010837,Gas,,Test runs for VRU. No Charge,,FALSE
,-20,GC-C6GAS,26032281,004A,EOG22,3/19/2026,3/19/2026,3/27/2026,3,Cylinder 300cc,1111-003806,Gas,,Test runs for VRU. No Charge,,FALSE
,-20,GC-C6GAS,26032281,005A,EOG22,3/19/2026,3/19/2026,3/27/2026,3,Cylinder 300cc,1111-013120,Gas,,Test runs for VRU. No Charge,,FALSE
,4,GC-C6GAS,26041115,001A,EOG22,4/7/2026,4/7/2026,4/21/2026,3,Cylinder 300cc,1111-010706,Gas,,Shipping# 8704 1302 1133,,FALSE
,,,,,,,,,,,,,,Test VRU sample - No charge,,
,4,GC-C6GAS,26041115,002A,EOG22,4/7/2026,4/7/2026,4/21/2026,3,Cylinder 300cc,1111-010719,Gas,,Shipping# 8704 1302 1133,,FALSE
,,,,,,,,,,,,,,Test VRU sample - No charge,,
,13,GC-C6GAS,26043146,001A,EOG22,4/16/2026,4/17/2026,4/30/2026,3,Cylinder 300cc,1111-009281,Gas,,,,FALSE
,13,GC-C6GAS,26043146,002A,EOG22,4/16/2026,4/17/2026,4/30/2026,3,Cylinder 300cc,1111-010753,Gas,,,,FALSE
,13,GC-C6GAS,26043146,003A,EOG22,4/16/2026,4/17/2026,4/30/2026,3,Cylinder 300cc,1111-010681,Gas,,,,FALSE
,13,GC-C6GAS,26043146,004A,EOG22,4/16/2026,4/17/2026,4/30/2026,3,Cylinder 300cc,1111-013197,Gas,,,,FALSE
,13,GC-C6GAS,26043146,005A,EOG22,4/16/2026,4/17/2026,4/30/2026,3,Cylinder 300cc,1111-010682,Gas,,,,FALSE
,13,GC-C6GAS,26043146,006A,EOG22,4/16/2026,4/17/2026,4/30/2026,3,Cylinder 300cc,1111-010766,Gas,,,,FALSE
,13,GC-C6GAS,26043146,007A,EOG22,4/16/2026,4/17/2026,4/30/2026,3,Cylinder 300cc,1111-012539,Gas,,,,FALSE
,13,GC-C6GAS,26043146,008A,EOG22,4/16/2026,4/17/2026,4/30/2026,3,Cylinder 300cc,1111-010724,Gas,,,,FALSE
,13,GC-C6GAS,26043146,009A,EOG22,4/16/2026,4/17/2026,4/30/2026,3,Cylinder 300cc,9999-004913,Gas,,,,FALSE
,13,GC-C6GAS,26043146,010A,EOG22,4/16/2026,4/17/2026,4/30/2026,3,Cylinder 300cc,1111-012539,Gas,,,,FALSE
,13,GC-C6GAS,26043146,011A,EOG22,4/16/2026,4/17/2026,4/30/2026,3,Cylinder 300cc,1111-010763,Gas,,,,FALSE
,13,GC-C6GAS,26043146,012A,EOG22,4/16/2026,4/17/2026,4/30/2026,3,Cylinder 300cc,1111-010836,Gas,,,,FALSE
,13,GC-C6GAS,26043146,013A,EOG22,4/16/2026,4/17/2026,4/30/2026,3,Cylinder 300cc,4030-005850,Gas,,,,FALSE
,13,GC-C6GAS,26043146,014A,EOG22,4/16/2026,4/17/2026,4/30/2026,3,Cylinder 300cc,1111-016714,Gas,,,,FALSE
,13,GC-C6GAS,26043146,015A,EOG22,4/16/2026,4/17/2026,4/30/2026,3,Cylinder 300cc,1111-013135,Gas,,,,FALSE
,13,GC-C6GAS,26043146,016A,EOG22,4/16/2026,4/17/2026,4/30/2026,3,Cylinder 300cc,1111-012597,Gas,,,,FALSE
,13,GC-C6GAS,26043146,017A,EOG22,4/16/2026,4/17/2026,4/30/2026,3,Cylinder 300cc,1111-010246,Gas,,,,FALSE
,13,GC-C6GAS,26043146,018A,EOG22,4/16/2026,4/17/2026,4/30/2026,3,Cylinder 300cc,1111-012594,Gas,,,,FALSE
,13,GC-C6GAS,26043146,019A,EOG22,4/16/2026,4/17/2026,4/30/2026,3,Cylinder 300cc,1030-06410,Gas,,,,FALSE
,13,GC-C6GAS,26043146,020A,EOG22,4/16/2026,4/17/2026,4/30/2026,3,Cylinder 300cc,1111-013133,Gas,,,,FALSE
,13,GC-C6GAS,26043146,021A,EOG22,4/16/2026,4/17/2026,4/30/2026,3,Cylinder 300cc,1111-013127,Gas,,,,FALSE
,13,GC-C6GAS,26043146,022A,EOG22,4/16/2026,4/17/2026,4/30/2026,3,Cylinder 300cc,1111-010848,Gas,,,,FALSE
,14,GC-C6GAS,26043211,001A,OHIO-GAT-COM,4/17/2026,4/17/2026,5/1/2026,3,Cylinder 300cc,1207,Gas,,,,FALSE
,7,GC-D-7423-MEOH,26042119,001A,CLEAN-AIR3,4/10/2026,4/13/2026,4/24/2026,3,Cylinder 300cc,1111-012492,Gas,,,,FALSE
,7,GC-D-7423-MEOH,26042119,002A,CLEAN-AIR3,4/10/2026,4/13/2026,4/24/2026,3,Cylinder 300cc,1111-007038,Gas,,,,FALSE
,7,GC-D-7423-MEOH,26042119,003A,CLEAN-AIR3,4/10/2026,4/13/2026,4/24/2026,3,Cylinder 300cc,1111-012530,Gas,,,,FALSE
,7,GC-D-7423-MEOH,26042119,004A,CLEAN-AIR3,4/10/2026,4/13/2026,4/24/2026,3,Cylinder 300cc,1111-010756,Gas,,,,FALSE
,7,GC-D-7423-MEOH,26042119,005A,CLEAN-AIR3,4/10/2026,4/13/2026,4/24/2026,3,Cylinder 300cc,1111-010811,Gas,,,,FALSE
,7,GC-D-7423-MEOH,26042119,006A,CLEAN-AIR3,4/10/2026,4/13/2026,4/24/2026,3,Cylinder 300cc,1111-010834,Gas,,,,FALSE
