,Due Days,Test Code,Work Order,Sample,Client Code,Received,Log Date,Due Date,Priority,Container Type,Cylinder #,Matrix,Test Notes,Work Order Comment,Sample 2,Column 1,
,4,GC-2163M,26054722,001A,CAT-OIL,5/22/2026,5/22/2026,6/1/2026,3,Cylinder piston 300cc,1111-003213,Liquid,,,Adjust Charges,,FALSE
,,,,,,,,,,,,,,,Catalyst sent to Houston 5.22,,
,1,GC-C10LIQEXT,26055487,002A,ENERGY-TRA-LA-GRA,5/28/2026,5/28/2026,5/29/2026,3,Cylinder 300cc,9999-004777,Liquid,,,,"CC 15,500",FALSE
,1,GC-C10LIQEXT,26055487,003A,ENERGY-TRA-LA-GRA,5/28/2026,5/28/2026,5/29/2026,3,Cylinder 300cc,9999-004778,Liquid,,,,"CC 11,500",FALSE
,6,GC-C6GAS,26055376,010A,ENERGY-TRA-LA-GRA,5/27/2026,5/28/2026,6/3/2026,3,Cylinder 300cc,1111-013196,Gas,,,,,FALSE
,6,GC-C6GAS,26055376,011A,ENERGY-TRA-LA-GRA,5/27/2026,5/28/2026,6/3/2026,3,Cylinder 300cc,1111-012496,Gas,,,,,FALSE
,6,GC-C6GAS,26055376,012A,ENERGY-TRA-LA-GRA,5/27/2026,5/28/2026,6/3/2026,3,Cylinder 300cc,1111-013191,Gas,,,,,FALSE
,6,GC-C6GAS,26055376,013A,ENERGY-TRA-LA-GRA,5/27/2026,5/28/2026,6/3/2026,3,Cylinder 300cc,1111-010234,Gas,,,,,FALSE
,7,GC-C6GAS,26055475,001A,ENERGY-TRA-LA-GRA,5/28/2026,5/28/2026,6/4/2026,3,Cylinder 300cc,1111-013156,Gas,,,,,FALSE
,7,GC-C6GAS,26055475,002A,ENERGY-TRA-LA-GRA,5/28/2026,5/28/2026,6/4/2026,3,Cylinder 300cc,1111-012490,Gas,,,,,FALSE
,7,GC-C6GAS,26055475,003A,ENERGY-TRA-LA-GRA,5/28/2026,5/28/2026,6/4/2026,3,Cylinder 300cc,1111-012559,Gas,,,,,FALSE
,7,GC-C6GAS,26055475,004A,ENERGY-TRA-LA-GRA,5/28/2026,5/28/2026,6/4/2026,3,Cylinder 300cc,1111-010233,Gas,,,,,FALSE
,7,GC-C6GAS,26055475,005A,ENERGY-TRA-LA-GRA,5/28/2026,5/28/2026,6/4/2026,3,Cylinder 300cc,1111-012467,Gas,,,,,FALSE
,7,GC-C6GAS,26055475,006A,ENERGY-TRA-LA-GRA,5/28/2026,5/28/2026,6/4/2026,3,Cylinder 300cc,1111-013074,Gas,,,,,FALSE
,7,GC-C6GAS,26055475,007A,ENERGY-TRA-LA-GRA,5/28/2026,5/28/2026,6/4/2026,3,Cylinder 300cc,1111-012499,Gas,,,,,FALSE
,7,GC-C6GAS,26055475,008A,ENERGY-TRA-LA-GRA,5/28/2026,5/28/2026,6/4/2026,3,Cylinder 300cc,1111-012788,Gas,,,,,FALSE
,7,GC-C6GAS,26055475,009A,ENERGY-TRA-LA-GRA,5/28/2026,5/28/2026,6/4/2026,3,Cylinder 300cc,1111-013006,Gas,,,,,FALSE
,1,GC-C6LIQ,26055510,001A,ENERGY-TRA-LA-GRA,5/28/2026,5/28/2026,5/29/2026,3,Cylinder piston 300cc,9999-004911,Liquid,,,,7000cc@1200psi,FALSE
,1,GC-C6LIQ,26055510,002A,ENERGY-TRA-LA-GRA,5/28/2026,5/28/2026,5/29/2026,3,Cylinder piston 300cc,9999-004910,Liquid,,,,5000cc @ 1050psi,FALSE
,1,GC-C6LIQ,26055510,003A,ENERGY-TRA-LA-GRA,5/28/2026,5/28/2026,5/29/2026,3,Cylinder piston 300cc,9999-004939,Liquid,,,,5500cc @ 1000psi,FALSE
,4,GC-D-2598,26054722,001A,CAT-OIL,5/22/2026,5/22/2026,6/1/2026,3,Cylinder piston 300cc,1111-003213,Liquid,,,Adjust Charges,,FALSE
,,,,,,,,,,,,,,,Catalyst sent to Houston 5.22,,
