,Due Days,Test Code,Work Order,Sample,Client Code,Received,Log Date,Due Date,Priority,Container Type,Cylinder #,Matrix,Test Notes,Work Order Comment,Sample 2,Column 1
,-106,AS-BFV_CUT,25110275,001A,GULFPORT,10/29/25,11/5/25,11/12/25,3,Cylinder piston 500cc,2500-00567,Liquid,,Condensate Samples,,FALSE
,,,,,,,,,,,,,,"Unable to generate reports, sent 11/30/2025 DB",,
,-106,AS-BFV_CUT,25110275,002A,GULFPORT,10/29/25,11/5/25,11/12/25,3,Cylinder piston 500cc,1030-09532,Liquid,,Condensate Samples,,FALSE
,,,,,,,,,,,,,,"Unable to generate reports, sent 11/30/2025 DB",,
,-106,AS-BFV_CUT,25110275,003A,GULFPORT,10/29/25,11/5/25,11/12/25,3,Cylinder piston 500cc,4030-004269,Liquid,,Condensate Samples,,FALSE
,,,,,,,,,,,,,,"Unable to generate reports, sent 11/30/2025 DB",,
,-106,AS-BFV_CUT,25110275,004A,GULFPORT,10/29/25,11/5/25,11/12/25,3,Cylinder piston 500cc,2500-01301,Liquid,,Condensate Samples,,FALSE
,,,,,,,,,,,,,,"Unable to generate reports, sent 11/30/2025 DB",,
,-106,AS-BFV_CUT,25110275,005A,GULFPORT,10/29/25,11/5/25,11/12/25,3,Cylinder piston 500cc,1111-012195,Liquid,,Condensate Samples,,FALSE
,,,,,,,,,,,,,,"Unable to generate reports, sent 11/30/2025 DB",,
,-106,AS-BFV_DENSITY,25110275,001A,GULFPORT,10/29/25,11/5/25,11/12/25,3,Cylinder piston 500cc,2500-00567,Liquid,,Condensate Samples,,FALSE
,,,,,,,,,,,,,,"Unable to generate reports, sent 11/30/2025 DB",,
,-106,AS-BFV_DENSITY,25110275,002A,GULFPORT,10/29/25,11/5/25,11/12/25,3,Cylinder piston 500cc,1030-09532,Liquid,,Condensate Samples,,FALSE
,,,,,,,,,,,,,,"Unable to generate reports, sent 11/30/2025 DB",,
,-106,AS-BFV_DENSITY,25110275,003A,GULFPORT,10/29/25,11/5/25,11/12/25,3,Cylinder piston 500cc,4030-004269,Liquid,,Condensate Samples,,FALSE
,,,,,,,,,,,,,,"Unable to generate reports, sent 11/30/2025 DB",,
,-106,AS-BFV_DENSITY,25110275,004A,GULFPORT,10/29/25,11/5/25,11/12/25,3,Cylinder piston 500cc,2500-01301,Liquid,,Condensate Samples,,FALSE
,,,,,,,,,,,,,,"Unable to generate reports, sent 11/30/2025 DB",,
,-106,AS-BFV_DENSITY,25110275,005A,GULFPORT,10/29/25,11/5/25,11/12/25,3,Cylinder piston 500cc,1111-012195,Liquid,,Condensate Samples,,FALSE
,,,,,,,,,,,,,,"Unable to generate reports, sent 11/30/2025 DB",,
,3,AS-BFV_DENSITY,26021940,001A,EOG22,2/16/26,2/20/26,3/2/26,3,Cylinder piston 500cc,1111-000062,Oil,,,,FALSE
,3,AS-BFV_DENSITY,26021940,002A,EOG22,2/16/26,2/20/26,3/2/26,3,Cylinder piston 500cc,1111-002180,Oil,,,,FALSE
,3,AS-BFV_DENSITY,26021940,003A,EOG22,2/16/26,2/20/26,3/2/26,3,Cylinder piston 500cc,1111-013262,Oil,,,,FALSE
,5,AS-BFV_DENSITY,26021919,001A,EOG22,2/18/26,2/20/26,3/4/26,3,Cylinder piston 500cc,1030-06746,Oil,,,,FALSE
,5,AS-BFV_DENSITY,26021919,002A,EOG22,2/18/26,2/20/26,3/4/26,3,Cylinder piston 500cc,1111-013870,Oil,,,,FALSE
,5,AS-BFV_DENSITY,26021919,003A,EOG22,2/18/26,2/20/26,3/4/26,3,Cylinder piston 500cc,5030-00834,Oil,,,,FALSE
,5,AS-BFV_DENSITY,26021919,004A,EOG22,2/18/26,2/20/26,3/4/26,3,Cylinder piston 500cc,1030-08724,Oil,,,,FALSE
,5,AS-BFV_DENSITY,26021919,005A,EOG22,2/18/26,2/20/26,3/4/26,3,Cylinder piston 500cc,1030-06772,Oil,,,,FALSE
,5,AS-BFV_DENSITY,26021919,006A,EOG22,2/18/26,2/20/26,3/4/26,3,Cylinder piston 500cc,2500-00736,Oil,,,Sample #1,FALSE
,5,AS-BFV_DENSITY,26021919,007A,EOG22,2/18/26,2/20/26,3/4/26,3,Cylinder piston 500cc,1030-05001,Oil,,,Sample #2,FALSE
,6,AS-BFV_DENSITY,26022702,001A,EOG22,2/26/26,2/27/26,3/5/26,3,Cylinder piston 500cc,1030-08665,Oil,,,,FALSE
,6,AS-BFV_DENSITY,26022702,002A,EOG22,2/26/26,2/27/26,3/5/26,3,Cylinder piston 300cc,2500-01956,Oil,,,,FALSE
,6,AS-BFV_DENSITY,26022702,003A,EOG22,2/26/26,2/27/26,3/5/26,3,Cylinder piston 500cc,1030-09583,Oil,,,,FALSE
,6,AS-BFV_DENSITY,26022702,004A,EOG22,2/26/26,2/27/26,3/5/26,3,Cylinder piston 300cc,2500-01765,Oil,,,,FALSE
,6,AS-BFV_DENSITY,26022702,005A,EOG22,2/26/26,2/27/26,3/5/26,3,Cylinder piston 400cc,1111-009334,Oil,,,,FALSE
,6,AS-BFV_DENSITY,26022702,006A,EOG22,2/26/26,2/27/26,3/5/26,3,Cylinder piston 300cc,1111-012387,Oil,,,,FALSE
,6,AS-BFV_DENSITY,26022702,007A,EOG22,2/26/26,2/27/26,3/5/26,3,Cylinder piston 300cc,9999-003893,Oil,,,,FALSE
,-106,AS-BFV_MW,25110275,001A,GULFPORT,10/29/25,11/5/25,11/12/25,3,Cylinder piston 500cc,2500-00567,Liquid,,Condensate Samples,,FALSE
,,,,,,,,,,,,,,"Unable to generate reports, sent 11/30/2025 DB",,
,-106,AS-BFV_MW,25110275,002A,GULFPORT,10/29/25,11/5/25,11/12/25,3,Cylinder piston 500cc,1030-09532,Liquid,,Condensate Samples,,FALSE
,,,,,,,,,,,,,,"Unable to generate reports, sent 11/30/2025 DB",,
,-106,AS-BFV_MW,25110275,003A,GULFPORT,10/29/25,11/5/25,11/12/25,3,Cylinder piston 500cc,4030-004269,Liquid,,Condensate Samples,,FALSE
,,,,,,,,,,,,,,"Unable to generate reports, sent 11/30/2025 DB",,
,-106,AS-BFV_MW,25110275,004A,GULFPORT,10/29/25,11/5/25,11/12/25,3,Cylinder piston 500cc,2500-01301,Liquid,,Condensate Samples,,FALSE
,,,,,,,,,,,,,,"Unable to generate reports, sent 11/30/2025 DB",,
,-106,AS-BFV_MW,25110275,005A,GULFPORT,10/29/25,11/5/25,11/12/25,3,Cylinder piston 500cc,1111-012195,Liquid,,Condensate Samples,,FALSE
,,,,,,,,,,,,,,"Unable to generate reports, sent 11/30/2025 DB",,
,3,AS-BFV_MW,26021940,001A,EOG22,2/16/26,2/20/26,3/2/26,3,Cylinder piston 500cc,1111-000062,Oil,,,,FALSE
,3,AS-BFV_MW,26021940,002A,EOG22,2/16/26,2/20/26,3/2/26,3,Cylinder piston 500cc,1111-002180,Oil,,,,FALSE
