,Due Days,Test Code,Work Order,Sample,Client Code,Received,Log Date,Due Date,Priority,Container Type,Cylinder #,Matrix,Test Notes,Work Order Comment,Sample 2,Column 1
,-94,GC-C10LIQ,25111201,002A,Client,11/17/2025,11/17/2025,12/1/2025,3,Cylinder piston 1000cc,113588,Liquid,,,,TRUE
,-94,GC-C10LIQ,25111201,002B,Client,11/17/2025,11/17/2025,12/1/2025,3,Cylinder piston 1000cc,113588,Liquid,,,,TRUE
,-94,GC-C10LIQ,25111201,002C,Client,11/17/2025,11/17/2025,12/1/2025,3,Cylinder piston 1000cc,113588,Liquid,,,,FALSE
,-94,GC-C10LIQ,25111234,001A,Client,11/17/2025,11/17/2025,12/1/2025,3,Cylinder piston 1000cc,,Liquid,,,,TRUE
,0,AS-BFV_DENSITY,26022702,005A,EOG22,2/26/2026,2/27/2026,3/5/2026,3,Cylinder piston 400cc,1111-009334,Oil,,,,FALSE
,0,AS-BFV_MW,26022702,005A,EOG22,2/26/2026,2/27/2026,3/5/2026,3,Cylinder piston 400cc,1111-009334,Oil,,,,FALSE
,0,GC-2103-C10MZ,26022702,006A,EOG22,2/26/2026,2/27/2026,3/5/2026,3,Cylinder piston 300cc,1111-012387,Oil,,,,TRUE
,0,GC-2103-C10MZ,26022702,007A,EOG22,2/26/2026,2/27/2026,3/5/2026,3,Cylinder piston 300cc,9999-003893,Oil,,,,TRUE
,0,GC-C10LIQM,26030582,001A,EOG22,3/5/2026,3/5/2026,3/6/2026,3,16.9oz Bottle,,Liquid,,,,FALSE
,4,GC-C6GAS,26030018,005A,ENERGY-TRA-LA-GRA,3/2/2026,3/2/2026,3/10/2026,3,Cylinder 300cc,1111-010721,Gas,,,,FALSE
,4,GC-C6GAS,26030018,006A,ENERGY-TRA-LA-GRA,3/2/2026,3/2/2026,3/10/2026,3,Cylinder 300cc,1111-012528,Gas,,,,FALSE
,4,GC-C6GAS,26030018,007A,ENERGY-TRA-LA-GRA,3/2/2026,3/2/2026,3/10/2026,3,Cylinder 300cc,1111-010682,Gas,,,,FALSE
,4,GC-C6GAS,26030018,008A,ENERGY-TRA-LA-GRA,3/2/2026,3/2/2026,3/10/2026,3,Cylinder 300cc,1111-013195,Gas,,,,FALSE
,4,GC-C6GAS,26030018,009A,ENERGY-TRA-LA-GRA,3/2/2026,3/2/2026,3/10/2026,3,Cylinder 300cc,1111-007022,Gas,,,,FALSE
,4,GC-C6GAS,26030018,010A,ENERGY-TRA-LA-GRA,3/2/2026,3/2/2026,3/10/2026,3,Cylinder 300cc,4030-004999,Gas,,,,FALSE
,4,GC-C6GAS,26030018,011A,ENERGY-TRA-LA-GRA,3/2/2026,3/2/2026,3/10/2026,3,Cylinder 300cc,1111-013021,Gas,,,,FALSE
,4,GC-C6GAS,26030018,012A,ENERGY-TRA-LA-GRA,3/2/2026,3/2/2026,3/10/2026,3,Cylinder 300cc,4030-005616,Gas,,,,FALSE
,4,GC-C6GAS,26030018,013A,ENERGY-TRA-LA-GRA,3/2/2026,3/2/2026,3/10/2026,3,Cylinder 300cc,1111-010781,Gas,,,,FALSE
,4,GC-C6GAS,26030018,014A,ENERGY-TRA-LA-GRA,3/2/2026,3/2/2026,3/10/2026,3,Cylinder 300cc,1111-009281,Gas,,,,FALSE
,4,GC-C6GAS,26030018,015A,ENERGY-TRA-LA-GRA,3/2/2026,3/2/2026,3/10/2026,3,Cylinder 300cc,1111-012568,Gas,,,,FALSE
,4,GC-C6GAS,26030018,016A,ENERGY-TRA-LA-GRA,3/2/2026,3/2/2026,3/10/2026,3,Cylinder 300cc,1111-016714,Gas,,,,FALSE
,4,GC-C6GAS,26030018,017A,ENERGY-TRA-LA-GRA,3/2/2026,3/2/2026,3/10/2026,3,Cylinder 300cc,4030-005850,Gas,,,,FALSE
,4,GC-C6GAS,26030018,018A,ENERGY-TRA-LA-GRA,3/2/2026,3/2/2026,3/10/2026,3,Cylinder 300cc,4030-005902,Gas,,,,FALSE
,4,GC-C6GAS,26030018,019A,ENERGY-TRA-LA-GRA,3/2/2026,3/2/2026,3/10/2026,3,Cylinder 300cc,1111-012456,Gas,,,,FALSE
,4,GC-C6GAS,26030018,020A,ENERGY-TRA-LA-GRA,3/2/2026,3/2/2026,3/10/2026,3,Cylinder 300cc,1111-012537,Gas,,,,FALSE
,6,GC-C6GAS,26022686,001A,EOG22,2/26/2026,2/27/2026,3/12/2026,3,Cylinder 300cc,1111-013083,Gas,,,,TRUE
,6,GC-C6GAS,26022686,002A,EOG22,2/26/2026,2/27/2026,3/12/2026,3,Cylinder 300cc,1111-013045,Gas,,,,TRUE
,6,GC-C6GAS,26022686,003A,EOG22,2/26/2026,2/27/2026,3/12/2026,3,Cylinder 300cc,1111-010660,Gas,,,,TRUE
,6,GC-C6GAS,26022686,004A,EOG22,2/26/2026,2/27/2026,3/12/2026,3,Cylinder 300cc,1111-005259,Gas,,,,TRUE
,6,GC-C6GAS,26022686,005A,EOG22,2/26/2026,2/27/2026,3/12/2026,3,Cylinder 300cc,1111-013098,Gas,,,,FALSE
,6,GC-C6GAS,26022686,006A,EOG22,2/26/2026,2/27/2026,3/12/2026,3,Cylinder 300cc,1030-00958,Gas,,,,TRUE
,6,GC-C6GAS,26022686,007A,EOG22,2/26/2026,2/27/2026,3/12/2026,3,Cylinder 300cc,4030-005592,Gas,,,,TRUE
,9,GC-C6GAS,26030587,001A,EOG22,3/5/2026,3/5/2026,3/15/2026,3,Cylinder 300cc,1111-010679,Gas,,,,FALSE
,9,GC-C6GAS,26030587,002A,EOG22,3/5/2026,3/5/2026,3/15/2026,3,Cylinder 300cc,1111-012566,Gas,,,,FALSE
,9,GC-C6GAS,26030587,003A,EOG22,3/5/2026,3/5/2026,3/15/2026,3,Cylinder 300cc,1030-09201,Gas,,,,FALSE
,9,GC-C6GAS,26030587,004A,EOG22,3/5/2026,3/5/2026,3/15/2026,3,Cylinder 300cc,1111-012517,Gas,,,,FALSE
,9,GC-C6GAS,26030587,005A,EOG22,3/5/2026,3/5/2026,3/15/2026,3,Cylinder 300cc,1111-010791,Gas,,,,FALSE
,9,GC-C6GAS,26030587,006A,EOG22,3/5/2026,3/5/2026,3/15/2026,3,Cylinder 300cc,3010-04396,Gas,,,,FALSE
,9,GC-C6GAS,26030587,007A,EOG22,3/5/2026,3/5/2026,3/15/2026,3,Cylinder 300cc,1111-002799,Gas,,,,FALSE
,9,GC-C6GAS,26030587,008A,EOG22,3/5/2026,3/5/2026,3/15/2026,3,Cylinder 300cc,1111-004880,Gas,,,,FALSE
,9,GC-C6GAS,26030587,009A,EOG22,3/5/2026,3/5/2026,3/15/2026,3,Cylinder 300cc,1111-007102,Gas,,,,FALSE
,9,GC-C6GAS,26030587,010A,EOG22,3/5/2026,3/5/2026,3/15/2026,3,Cylinder 300cc,3040-05320,Gas,,,,FALSE
,9,GC-C6GAS,26030587,011A,EOG22,3/5/2026,3/5/2026,3/15/2026,3,Cylinder 300cc,1111-010680,Gas,,,,FALSE
,9,GC-C6GAS,26030587,012A,EOG22,3/5/2026,3/5/2026,3/15/2026,3,Cylinder 300cc,1111-010828,Gas,,,,FALSE
,11,GC-C6GAS,26030494,001A,EOG22,3/3/2026,3/5/2026,3/17/2026,3,Cylinder 300cc,1111-013186,Gas,,,,FALSE
,11,GC-C6GAS,26030494,002A,EOG22,3/3/2026,3/5/2026,3/17/2026,3,Cylinder 300cc,1111-013163,Gas,,,,FALSE
,11,GC-C6GAS,26030494,003A,EOG22,3/3/2026,3/5/2026,3/17/2026,3,Cylinder 300cc,1111-013164,Gas,,,,FALSE
,11,GC-C6GAS,26030494,004A,EOG22,3/3/2026,3/5/2026,3/17/2026,3,Cylinder 300cc,1111-013114,Gas,,,,FALSE
,11,GC-C6GAS,26030494,005A,EOG22,3/3/2026,3/5/2026,3/17/2026,3,Cylinder 300cc,1111-012544,Gas,,,,FALSE
,11,GC-C6GAS,26030494,006A,EOG22,3/3/2026,3/5/2026,3/17/2026,3,Cylinder 300cc,1111-010673,Gas,,,,FALSE
,11,GC-C6GAS,26030494,007A,EOG22,3/3/2026,3/5/2026,3/17/2026,3,Cylinder 300cc,1111-012576,Gas,,,,FALSE
,11,GC-C6GAS,26030494,008A,EOG22,3/3/2026,3/5/2026,3/17/2026,3,Cylinder 300cc,1111-013024,Gas,,,,FALSE
,11,GC-C6GAS,26030494,009A,EOG22,3/3/2026,3/5/2026,3/17/2026,3,Cylinder 300cc,1111-010782,Gas,,,,FALSE
,11,GC-C6GAS,26030494,010A,EOG22,3/3/2026,3/5/2026,3/17/2026,3,Cylinder 300cc,1111-010836,Gas,,,,FALSE
,11,GC-C6GAS,26030494,011A,EOG22,3/3/2026,3/5/2026,3/17/2026,3,Cylinder 300cc,1111-010808,Gas,,,,FALSE
,11,GC-C6GAS,26030494,012A,EOG22,3/3/2026,3/5/2026,3/17/2026,3,Cylinder 300cc,1111-010818,Gas,,,,FALSE
,11,GC-C6GAS,26030494,013A,EOG22,3/3/2026,3/5/2026,3/17/2026,3,Cylinder 300cc,1111-010810,Gas,,,,FALSE
